"ListID";"Created";"Date";"TimeStart";"TimeEnd";"NameCS";"Note";"Observers";"SiteName";"SiteNote";"Latitude";"Longitude";"CoordinatesSetByUser";"DistanceCovered";"MunicipalityPart";"Municipality";"District";"Region";"ListProjects";"ItemID";"Rarity";"SpeciesID";"SpeciesNameLA";"SpeciesName";"ItemTime";"ItemLatitude";"ItemLongitude";"Count";"CountMin";"CountMax";"CountExact";"Age";"Sex";"Activity";"Group";"RingMark";"ItemNote";"TagUncertain";"TagFirstArrivals";"PhotosCount";"CommentsCount";"ItemProjects";"ListLink";"ItemLink"
"1a86e5";"2026-05-02 14:28:26";"2026-05-02";"14:24:00";"";"Vybraná pozorování";"";"Olga Lysoňková";"";"";"49.093272";"15.888850";1;"";"Jaroměřice nad Rokytnou";"Jaroměřice nad Rokytnou";"Třebíč";"Kraj Vysočina";"Čapí hnízda";16435069;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"1";"1";"1";"1";"ad.";"";"";1;"";"čistil důlek a usedá";0;0;1;0;"Čapí hnízda";"https://cso.cz/1a86e5";"https://cso.cz/16435069"
"6c13b3";"2026-05-02 14:11:10";"2026-05-02";"14:09:14";"14:10:39";"Vybraná pozorování";"";"Peter Kušnirák";"Zásmuky - komín cihelny";"";"49.935125";"15.018547";1;"";"Nesměň";"Zásmuky";"Kolín";"Středočeský kraj";"Čapí hnízda";16434994;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"14:09:19";"49.935125";"15.018547";"1";"1";"1";"1";"ad.";"";"C13 sedí na hnízdě";1;"";"";0;0;0;0;"Čapí hnízda";"https://cso.cz/6c13b3";"https://cso.cz/16434994"
"4d4389";"2026-05-02 13:54:26";"2026-05-02";"13:52:20";"13:53:40";"Vybraná pozorování";"";"Pavel Dirbák, partnerka, děti";"doma";"";"48.841253";"14.502148";1;"";"Lahuť";"Mokrý Lom";"České Budějovice";"Jihočeský kraj";"";16434992;"obvyklé";"311";"Ciconia nigra";"čáp černý";"13:52:20";"";"";"1";"1";"1";"1";"ad.";"";"přelet JV";1;"";"";0;0;0;0;"";"https://cso.cz/4d4389";"https://cso.cz/16434992"
"f4ec1f";"2026-05-02 13:54:31";"2026-05-02";"13:41:00";"13:51:00";"Vybraná pozorování";"";"Helena Kašparová";"";"";"49.701556";"14.614504";1;"";"Drachkov";"Bystřice";"Benešov";"Středočeský kraj";"Čapí hnízda";16434993;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"2";"2";"2";"1";"ad.";"";"C13 sedí na hnízdě";1;"";"";0;0;0;0;"Čapí hnízda";"https://cso.cz/f4ec1f";"https://cso.cz/16434993"
"ace70a";"2026-05-02 13:43:01";"2026-05-02";"13:33:00";"13:35:00";"Vybraná pozorování";"";"Hana Miklíková";"";"";"49.273593";"17.588059";1;"";"Lechotice";"Lechotice";"Kroměříž";"Zlínský kraj";"Čapí hnízda";16434925;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"2";"2";"2";"1";"ad.";"";"B5 tok nebo páření";1;"";"";0;0;1;0;"Čapí hnízda";"https://cso.cz/ace70a";"https://cso.cz/16434925"
"ed27af";"2026-05-02 13:45:44";"2026-05-02";"13:30:00";"13:40:00";"Vybraná pozorování";"";"Miroslav Rezek";"";"";"50.138805";"12.357253";1;"";"Žírovice";"Františkovy Lázně";"Cheb";"Karlovarský kraj";"Čapí hnízda";16434930;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"1";"1";"1";"1";"pull - líhnutí";"";"C16 hnízdo s mláďaty";1;"";"";0;0;1;0;"Čapí hnízda";"https://cso.cz/ed27af";"https://cso.cz/16434930"
"ed27af";"2026-05-02 13:45:44";"2026-05-02";"13:30:00";"13:40:00";"Vybraná pozorování";"";"Miroslav Rezek";"";"";"50.138805";"12.357253";1;"";"Žírovice";"Františkovy Lázně";"Cheb";"Karlovarský kraj";"Čapí hnízda";16434929;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"2";"2";"2";"1";"ad.";"";"C13 sedí na hnízdě";1;"";"";0;0;0;0;"Čapí hnízda";"https://cso.cz/ed27af";"https://cso.cz/16434929"
"7ea305";"2026-05-02 12:49:12";"2026-05-02";"12:45:00";"";"Vybraná pozorování";"";"Věra Poklopová";"";"";"48.981188";"17.315875";1;"";"Moravský Písek";"Moravský Písek";"Hodonín";"Jihomoravský kraj";"Čapí hnízda";16434651;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"2";"2";"2";"1";"ad.";"";"";1;"";"";0;0;1;0;"Čapí hnízda";"https://cso.cz/7ea305";"https://cso.cz/16434651"
"c16699";"2026-05-02 12:20:42";"2026-05-02";"12:18:00";"12:20:00";"Vybraná pozorování";"";"Tomáš Sobek";"";"";"50.505225";"13.457585";1;"";"Jirkov";"Jirkov";"Chomutov";"Ústecký kraj";"Čapí hnízda";16434587;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"2";"2";"2";"1";"ad.";"";"C13 sedí na hnízdě";1;"";"Již delší dobu probíhá střídání sezení na vejcích, počet neznámí";0;0;1;0;"Čapí hnízda";"https://cso.cz/c16699";"https://cso.cz/16434587"
"64dbd9";"2026-05-02 12:15:37";"2026-05-02";"12:15:10";"12:15:24";"Vybraná pozorování";"";"Andrea Höchsmannová";"Romže";"";"49.578083";"16.903154";1;"";"Křemenec";"Konice";"Prostějov";"Olomoucký kraj";"";16434582;"obvyklé";"311";"Ciconia nigra";"čáp černý";"12:15:10";"";"";"1";"1";"1";"1";"";"";"A1 v hn. době ve vhodném prostředí";1;"";"";0;0;0;0;"";"https://cso.cz/64dbd9";"https://cso.cz/16434582"
"dd97f9";"2026-05-02 12:17:26";"2026-05-02";"12:15:00";"12:17:00";"Vybraná pozorování";"";"Tomáš Sobek";"";"";"50.505144";"13.456678";1;"";"Jirkov";"Jirkov";"Chomutov";"Ústecký kraj";"Čapí hnízda";16434586;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"2";"2";"2";"1";"ad.";"";"";1;"";"Na komíně již delší dobu pobývá druhý pár, v předchozích dnech pozorování páření, nyní to již vypadá, že sedí na vejcích";0;0;1;0;"Čapí hnízda";"https://cso.cz/dd97f9";"https://cso.cz/16434586"
"20859c";"2026-05-02 12:15:47";"2026-05-02";"12:05:00";"12:15:00";"Vybraná pozorování";"";"Miroslav Rezek";"";"";"50.137427";"12.586712";1;"";"Šabina";"Šabina";"Sokolov";"Karlovarský kraj";"Čapí hnízda";16434584;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"1";"1";"1";"1";"pull - líhnutí";"";"C16 hnízdo s mláďaty";1;"";"";0;0;0;0;"Čapí hnízda";"https://cso.cz/20859c";"https://cso.cz/16434584"
"20859c";"2026-05-02 12:15:47";"2026-05-02";"12:05:00";"12:15:00";"Vybraná pozorování";"";"Miroslav Rezek";"";"";"50.137427";"12.586712";1;"";"Šabina";"Šabina";"Sokolov";"Karlovarský kraj";"Čapí hnízda";16434583;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"2";"2";"2";"1";"ad.";"";"C14 nosí potravu nebo trus";1;"";"";0;0;0;0;"Čapí hnízda";"https://cso.cz/20859c";"https://cso.cz/16434583"
"6bfe2d";"2026-05-02 11:54:25";"2026-05-02";"11:51:00";"";"Vybraná pozorování";"";"Věra Poklopová";"";"";"50.609799";"15.503243";1;"";"Jilemnice";"Jilemnice";"Semily";"Liberecký kraj";"Čapí hnízda";16434497;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"2";"2";"2";"1";"ad.";"";"C13 sedí na hnízdě";1;"";"Nová partnerka.";0;0;1;0;"Čapí hnízda";"https://cso.cz/6bfe2d";"https://cso.cz/16434497"
"9e34c7";"2026-05-02 13:46:18";"2026-05-02";"11:50:00";"12:35:00";"Kompletní seznam";"";"Matyáš Dyčka, Pavel Dyčka,Marcela Dyčková";"Dolní rybník";"";"49.767615";"16.456515";1;"";"Lačnov";"Svitavy";"Svitavy";"Pardubický kraj";"";16434940;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"1";"1";"1";"1";"";"";"lov / sběr potravy";1;"";"Chodil po louce u rybníka";0;0;0;0;"";"https://cso.cz/9e34c7";"https://cso.cz/16434940"
"b06a54";"2026-05-02 11:22:24";"2026-05-02";"11:18:00";"11:19:00";"Vybraná pozorování";"";"Josef Javůrek";"";"";"50.609799";"15.503243";1;"";"Jilemnice";"Jilemnice";"Semily";"Liberecký kraj";"Čapí hnízda";16434010;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"1";"1";"1";"1";"ad.";"";"";1;"";"";0;0;0;0;"Čapí hnízda";"https://cso.cz/b06a54";"https://cso.cz/16434010"
"3d4f34";"2026-05-02 11:06:49";"2026-05-02";"11:06:31";"11:06:44";"Vybraná pozorování";"";"Jiří Goláň";"Tupesy - komín v areálu ZD";"";"49.088722";"17.376755";1;"";"Tupesy";"Tupesy";"Uherské Hradiště";"Zlínský kraj";"Čapí hnízda";16433983;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"11:06:33";"49.088722";"17.376755";"1";"1";"1";"1";"ad.";"";"C13 sedí na hnízdě";1;"";"";0;0;0;0;"Čapí hnízda";"https://cso.cz/3d4f34";"https://cso.cz/16433983"
"dae95b";"2026-05-02 11:24:11";"2026-05-02";"10:30:00";"11:00:00";"Vybraná pozorování";"";"Lukáš Ronge";"";"";"50.516935";"16.047827";1;"";"Batňovice";"Batňovice";"Trutnov";"Královéhradecký kraj";"Čapí hnízda";16434011;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"2";"2";"2";"1";"ad.";"";"";1;"PLG N1127";"Jeden čáp s ELSA kroužkem odečten, hlášení odesláno na NM. Druhý po chvilce odlétl na louku na lov.";0;0;3;0;"Čapí hnízda";"https://cso.cz/dae95b";"https://cso.cz/16434011"
"d00259";"2026-05-02 10:03:00";"2026-05-02";"10:02:44";"10:02:55";"Vybraná pozorování";"";"Daniel Pech";"Mochtín - Komín";"";"49.351433";"13.343204";1;"";"Srbice";"Mochtín";"Klatovy";"Plzeňský kraj";"Čapí hnízda";16433148;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"10:02:46";"49.351433";"13.343204";"1";"1";"1";"1";"ad.";"";"C13 sedí na hnízdě";1;"";"";0;0;0;0;"Čapí hnízda";"https://cso.cz/d00259";"https://cso.cz/16433148"
